Čas (Index),Buy_Price,Sell_Price,Sloupec_3,Sloupec_4,Sloupec_5,Sloupec_6
177427611.2721,1282.2000000000025,1206.6999999999994,3361802,1354038,6218105,30277529
177427613.2721,1282.2000000000025,1206.6999999999994,3361802,1353778,6218105,30277789
177427615.2721,1282.1000000000026,1206.6999999999994,3361802,1353230,6218105,30278337
177427617.2721,1282.1000000000026,1206.6999999999994,3362345,1353229,6218140,30278338
177427619.2721,1282.1000000000026,1206.6999999999994,3362345,1352957,6218140,30278610
177427621.2721,1282.1000000000026,1206.6999999999994,3362345,1351030,6218140,30280537
177427623.2721,1282.1000000000026,1206.7999999999993,3362344,1351266,6218141,30280557
177427625.2721,1282.1000000000026,1206.6999999999994,3362344,1350472,6218141,30281351
177427627.2721,1282.1000000000026,1206.6999999999994,3362344,1348881,6218141,30282942
177427629.2721,1282.1000000000026,1206.6999999999994,3362344,1348864,6218141,30282959
177427631.2721,1282.1000000000026,1206.7999999999993,3362344,1368864,6218141,30282959
177427633.2721,1282.1000000000026,1206.7999999999993,3362408,1368679,6218141,30283144
177427635.2721,1282.1000000000026,1206.7999999999993,3362392,1368526,6218157,30283297
177427637.2721,1282.1000000000026,1206.7999999999993,3362526,1368526,6218157,30283297
177427639.2721,1282.1000000000026,1206.7999999999993,3362526,1368378,6218157,30283445
177427641.2721,1282.1000000000026,1206.7999999999993,3362526,1368313,6218157,30283510
177427643.2721,1282.1000000000026,1206.7999999999993,3362542,1367999,6218157,30283824
177427645.2721,1282.1000000000026,1206.7999999999993,3362542,1362385,6218157,30284493
177427647.2721,1282.1000000000026,1206.7999999999993,3362542,1362308,6218157,30284570
177427649.2721,1282.0000000000027,1206.7999999999993,3362614,1362098,6218157,30284780
177427651.2721,1282.0000000000027,1206.7999999999993,3362614,1361870,6218157,30285008
177427653.2721,1282.0000000000027,1206.7999999999993,3362347,1360909,6218157,30285969
177427655.2721,1282.1000000000026,1206.7999999999993,3361835,1359219,6218669,30287659
177427657.2721,1282.5000000000027,1206.7999999999993,3361387,1358851,6219117,30288027
177427659.2721,1282.4000000000028,1206.7999999999993,3361459,1357652,6219181,30289226
177427661.2721,1282.4000000000028,1206.7999999999993,3361459,1355152,6219181,30291726
177427663.2721,1282.4000000000028,1206.7999999999993,3361459,1354634,6219181,30292244
177427665.2721,1282.300000000003,1206.7999999999993,3361907,1354378,6219181,30292504
177427667.2721,1282.300000000003,1206.7999999999993,3361907,1353217,6219181,30293665
177427669.2721,1282.300000000003,1206.7999999999993,3361407,1352590,6219681,30294292
177427671.2721,1282.500000000003,1206.7999999999993,3361275,1350907,6219841,30295975
177427673.2721,1282.500000000003,1206.7999999999993,3361274,1346361,6219842,30300521
177427675.2721,1282.400000000003,1206.7999999999993,3361786,1346299,6219970,30300583
177427677.2721,1282.400000000003,1206.7999999999993,3361786,1345609,6219970,30301273
177427679.2721,1282.400000000003,1206.7999999999993,3361786,1344712,6219970,30302170
177427681.2721,1282.500000000003,1206.5999999999992,3360794,1343446,6220962,30303436
177427683.2721,1282.500000000003,1206.5999999999992,3360730,1343297,6221026,30303585
177427685.2721,1274.900000000003,1206.6999999999991,3360790,1413947,6221027,30303935
